Word, Frequency
and, 718
the, 682
i, 655
to, 557
a, 474
of, 392
my, 358
that, 352
is, 350
in, 324
romeo, 309
you, 295
s, 288
thou, 278
me, 264
not, 258
with, 251
it, 227
for, 225
this, 217
be, 210
but, 183
juliet, 181
o, 175
what, 173
thy, 167
d, 161
as, 157
her, 152
love, 150
will, 148
nurse, 146
capulet, 146
so, 145
thee, 139
he, 136
his, 133
have, 127
she, 127
by, 116
lady, 114
shall, 110
your, 103
no, 102
friar, 98
come, 97
all, 97
him, 97
ll, 91
here, 89
do, 89
mercutio, 88
night, 88
from, 86
then, 84
good, 83
if, 82
now, 82
enter, 81
benvolio, 80
on, 79
tybalt, 78
an, 78
laurence, 77
go, 76
we, 76
death, 75
man, 72
there, 69
at, 69
or, 68
more, 68
are, 68
well, 64
hath, 63
which, 62
one, 60
our, 60
paris, 59
they, 59
up, 59
am, 59
how, 58
where, 58
sir, 58
too, 57
would, 56
some, 56
day, 56
say, 55
art, 54
when, 53
out, 53
let, 51
was, 49
should, 49
dead, 48
give, 47
doth, 47
yet, 47
may, 47
than, 47
their, 47
such, 46
tell, 45
montague, 43
them, 43
fair, 43
these, 43
upon, 43
take, 41
like, 41
must, 40
make, 40
tis, 40
did, 40
can, 40
st, 40
know, 40
prince, 38
why, 38
much, 37
were, 37
who, 37
god, 36
see, 36
sweet, 36
time, 34
look, 34
heart, 34
first, 33
gone, 33
ay, 32
exit, 31
lord, 31
stay, 31
exeunt, 30
house, 30
us, 30
wilt, 30
word, 29
speak, 29
light, 29
peter, 29
men, 28
mine, 28
true, 28
er, 28
eyes, 28
heaven, 28
hast, 28
back, 28
bed, 28
old, 27
dear, 27
name, 27
servant, 27
comes, 27
again, 27
hence, 27
father, 26
stand, 26
scene, 26
hand, 25
hear, 25
very, 25
being, 25
call, 24
find, 24
therefore, 23
away, 23
die, 23
think, 23
part, 23
both, 23
young, 23
marry, 23
face, 23
madam, 23
life, 22
till, 22
two, 22
lie, 22
made, 22
holy, 21
sampson, 21
cannot, 21
farewell, 21
any, 21
morrow, 21
within, 21
ere, 20
before, 20
been, 20
had, 20
down, 20
tears, 20
nor, 20
nay, 20
earth, 20
cousin, 19
lies, 19
live, 19
world, 19
gregory, 19
wife, 19
peace, 19
married, 19
second, 18
never, 18
son, 18
balthasar, 18
banished, 18
thing, 18
ah, 18
poor, 18
eye, 18
blood, 18
help, 18
put, 18
bid, 18
faith, 18
grave, 17
hold, 17
slain, 17
kill, 17
hour, 17
long, 17
pray, 17
cell, 17
county, 17
lips, 17
villain, 17
could, 17
other, 17
own, 17
daughter, 16
keep, 16
ill, 16
child, 16
fear, 16
alone, 16
those, 16
fall, 16
sun, 16
most, 16
early, 16
dost, 16
whose, 15
new, 15
said, 15
mother, 15
head, 15
talk, 15
still, 15
rest, 15
none, 15
news, 15
hate, 14
above, 14
haste, 14
poison, 14
watch, 14
gentleman, 14
soul, 14
husband, 14
many, 14
breath, 14
myself, 14
same, 14
without, 14
thursday, 14
soon, 14
nothing, 14
woe, 14
lives, 14
letter, 14
use, 14
musician, 14
mantua, 14
joy, 14
grief, 13
turn, 13
beauty, 13
another, 13
sound, 13
came, 13
leave, 13
thine, 13
place, 13
friend, 13
verona, 13
get, 13
else, 13
run, 13
send, 13
sin, 13
hands, 13
gentle, 13
ho, 13
sleep, 12
every, 12
even, 12
ever, 12
law, 12
better, 12
forth, 12
master, 12
best, 12
shame, 12
happy, 12
hither, 12
years, 12
little, 12
t, 12
kinsman, 12
makes, 12
wit, 12
bear, 12
pardon, 11
quarrel, 11
lay, 11
alack, 11
shalt, 11
boy, 11
mad, 11
show, 11
black, 11
morning, 11
chamber, 11
dream, 11
late, 11
ye, 11
since, 11
marriage, 11
pale, 11
though, 11
draw, 11
body, 11
tomb, 11
need, 11
bring, 11
warrant, 11
page, 11
about, 11
tongue, 11
answer, 10
silver, 10
mean, 10
re, 10
mistress, 10
rich, 10
full, 10
against, 10
music, 10
says, 10
maid, 10
torch, 10
saw, 10
ground, 10
gentlemen, 10
weep, 10
ne, 10
flower, 10
calls, 10
comfort, 10
rosaline, 10
foot, 10
heavy, 10
done, 10
twenty, 10
saint, 10
set, 10
church, 10
straight, 10
because, 10
himself, 10
once, 10
kiss, 10
ears, 10
desperate, 10
wall, 10
off, 10
swear, 10
end, 9
days, 9
john, 9
murder, 9
way, 9
sight, 9
indeed, 9
aside, 9
only, 9
case, 9
fortune, 9
either, 9
forget, 9
hours, 9
play, 9
arm, 9
unto, 9
into, 9
others, 9
great, 9
move, 9
ancient, 9
thus, 9
vault, 9
hide, 8
churchyard, 8
woes, 8
musicians, 8
mind, 8
three, 8
things, 8
woful, 8
bound, 8
counsel, 8
clouds, 8
sword, 8
goose, 8
bite, 8
alas, 8
enough, 8
mark, 8
noble, 8
vile, 8
follow, 8
through, 8
bosom, 8
lovers, 8
welcome, 8
sea, 8
last, 8
anon, 8
having, 8
meet, 8
high, 8
bones, 8
hie, 8
times, 8
watchman, 8
means, 8
sorrow, 8
merry, 8
thought, 8
noise, 8
apothecary, 8
book, 8
sick, 8
under, 7
hot, 7
air, 7
near, 7
brother, 7
bloody, 7
loving, 7
remember, 7
cold, 7
shows, 7
honest, 7
beseech, 7
thousand, 7
sudden, 7
dark, 7
act, 7
dagger, 7
stars, 7
corse, 7
moved, 7
banishment, 7
fearful, 7
past, 7
short, 7
orchard, 7
fool, 7
found, 7
feel, 7
flesh, 7
hit, 7
tender, 7
fire, 7
while, 7
maids, 7
canst, 7
next, 7
pretty, 7
fetch, 7
writ, 7
looks, 7
thyself, 7
measure, 7
words, 7
ear, 7
behold, 7
yonder, 6
hadst, 6
street, 6
